Grammy Song,Artist,Featured Artist,Year Win,Grammy,Peak,Week Avg,Weeks on Chart
this is America,Childish Gambino,0,2018,3,1,33.88235294,17
Joanne (where Do you Think You're Goin'?),,,2018,1,,,
Shallow,"Lady Gaga, Bradley Cooper",0,2018,2,1,24.15384615,39
Electricity,"Silk City, Dua Lipa",0,2018,1,62,86.8,10
when Bad Does Good,,,2018,1,,,
Electric Messiah,,,2018,1,,,
Masseduction,,,2018,1,,,
Best Part,Daniel Caesar,H.E.R.,2018,1,75,86.36842105,19
How Deep is your Love,"Calvin Harris, Disciples",0,2018,1,27,48.8,20
Boo'd Up,Ella Mai,0,2018,1,5,25.68571429,35
Bubblin,,,2018,1,,,
God's Plan,Drake,0,2018,1,1,11.25,36
Butterflies,,,2018,1,,,
Tequila,Dan + Shay,0,2018,1,21,43.76,50
Space Cowboy,,,2018,1,,,
Don't Fence Me in,,,2018,1,,,
Never Alone,,,2018,1,,,
you Say,Lauren Daigle,0,2018,1,29,53.44186047,43
The Joke,,,2018,2,,,
24k Magic,Bruno Mars,0,2017,1,4,22.51219512,41
That's What i Like,Bruno Mars,0,2017,3,1,19.05882353,52
Shape of you,Ed Sheeran,0,2017,1,1,12.31034483,59
Feel it Still,Portugal. The Man,0,2017,1,4,29.70454545,45
Tonite,,,2017,1,,,
you Want it Darker,,,2017,1,,,
Sultanâ€™s Curse,,,2017,1,,,
Run,,,2017,1,,,
Redbone,Childish Gambino,0,2017,1,12,46.68181818,44
Humble.,Kendrick Lamar,0,2017,2,1,20.51351351,37
Loyalty.,Kendrick Lamar,Rihanna,2017,1,14,51.73076923,26
Either Way,Chris Stapleton,0,2017,1,89,94,2
Better Man,Little Big Town,0,2017,1,34,53.55,20
Broken Halos,Chris Stapleton,0,2017,1,45,74.25,20
Miles Beyond,,,2017,1,,,
Never Have to be Alone,,,2017,1,,,
What a Beautiful Name,,,2017,1,,,
Killer Diller Blues,,,2017,1,,,
If We Were Vampires,,,2017,1,,,
How Far I'll Go,Auli'i Cravalho,0,2017,1,41,70.30769231,20
Hello,Adele,0,2016,3,1,9.153846154,26
Stressed Out,twenty one pilots,0,2016,1,2,27.96,52
Don't Let Me Down,The Chainsmokers,Daya,2016,1,3,22.76923077,52
Blackstar,David Bowie,0,2016,2,,79,
Dystopia,,,2016,1,,,
Cranes in the Sky,Solange,0,2016,1,74,88,2
Angel,,,2016,1,,,
Lake by the Ocean,,,2016,1,,,
No Problem,Chance The Rapper,"Lil Wayne, 2 Chainz",2016,1,43,77.11538462,26
Hotline Bling,Drake,0,2016,2,2,17.27777778,36
My Church,Maren Morris,0,2016,1,50,62.15,20
Jolene,,,2016,1,,,
Humble and Kind,Tim McGraw,0,2016,1,30,54,20
Iâ€™m so Lonesome i Could Cry,,,2016,1,,,
God Provides,,,2016,1,,,
Thy will,,,2016,1,,,
House of Mercy,,,2016,1,,,
Kid Sister,,,2016,1,,,
Can't Stop the Feeling!,Justin Timberlake,0,2016,1,1,19.84615385,52
Uptown Funk,,,2015,2,,,
Thinking Out Loud,Ed Sheeran,0,2015,2,2,34.6,58
where are Ã¼ Now,,,2015,1,,,
Don't Wanna Fight,,,2015,2,,,
Cirice,,,2015,1,,,
Earned it (Fifty Shades of Grey),,,2015,1,,,
Little Ghetto Boy,,,2015,1,,,
Really Love,,,2015,1,,,
Alright,Kendrick Lamar,0,2015,2,81,89.46153846,14
Traveller,Chris Stapleton,0,2015,1,,88,
Girl Crush,Little Big Town,0,2015,2,18,33.2,24
Cherokee,,,2015,1,,,
Wanna be Happy?,,,2015,1,,,
Holy Spirit,,,2015,1,,,
See that My Grave is Kept Clean,,,2015,1,,,
24 Frames,,,2015,1,,,
Glory,,,2015,1,,,
Stay with Me (Darkchild Version),,,2014,2,,,
Happy (Live),,,2014,1,,,
Say Something,Justin Timberlake,Chris Stapleton,2014,1,9,37.9375,16
Rather be,,,2014,1,,,
Lazaretto,,,2014,1,,,
The Last in Line,,,2014,1,,,
Ain't it Fun,,,2014,1,,,
Drunk in Love,,,2014,2,,,
Jesus Children,,,2014,1,,,
i,Lil Skies,0,2014,2,39,63.25,4
Something in the Water,,,2014,1,,,
Gentle on My Mind,,,2014,1,,,
I'm not Gonna Miss you,,,2014,1,,,
Fingerprints,,,2014,1,,,
No Greater Love,,,2014,1,,,
Messengers,,,2014,1,,,
a Feather's not a Bird,,,2014,2,,,
Let it Go,James Bay,0,2014,1,16,46.73529412,34
Get Lucky,,,2013,2,,,
Royals,,,2013,2,,,
Clarity,,,2013,1,,,
Radioactive,,,2013,1,,,
God is Dead?,,,2013,1,,,
Cut Me some Slack,,,2013,1,,,
Something,,,2013,1,,,
Please Come Home,,,2013,1,,,
Pusher Love Girl,,,2013,1,,,
Thrift Shop,,,2013,2,,,
Wagon Wheel,,,2013,1,,,
From this Valley,,,2013,1,,,
Merry Go 'Round,,,2013,1,,,
Orbits,,,2013,1,,,
Love Has Come for you,,,2013,1,,,
Skyfall,,,2013,1,,,
Somebody that i Used to Know,,,2012,2,,,
We are Young,,,2012,1,,,
Set Fire to the Rain [live],,,2012,1,,,
Bangarang,,,2012,1,,,
Lonely Boy,,,2012,2,,,
Climax,,,2012,1,,,
Love on Top,,,2012,1,,,
Adorn,,,2012,1,,,
N****s in Paris,,,2012,2,,,
