Name,GrammyAward, DB Row , Peak_chart , Week_chart ,Genre
'Til Summer Comes Around,1, Not Ranked ,  ,  ,
24 Frames,1, Not Ranked ,  ,  ,
24k Magic,1," 1,062 ", 4 , 41 ,Funk-Pop
500 Miles High,1, Not Ranked ,  ,  ,
99 Problems,1," 5,269 ", 30 , 12 ,Rap Rock
Adorn,1," 2,569 ", 17 , 33 ,Pop
Again,1," 1,627 ", 33 , 26 ,Trap
Ain't No Other Man,1," 4,667 ", 6 , 20 ,R&;B
Ain't it Fun,1," 2,127 ", 10 , 24 ,Adult Alternative
Alright,2," 1,752 ", 81 , 14 ,Hip-Hop
American Woman,1," 6,368 ", 49 , 21 ,Producer
Angel,1," 3,191 ", 56 , 10 ,Pop
Angry World,1, Not Ranked ,  ,  ,
B.y.o.b.,1," 4,998 ", 27 , 20 ,Thrash Metal
Bad Romance,1," 1,255 ", 2 , 35 ,Electronic
Bangarang,1," 2,753 ", 72 , 20 ,Electro
Barton Hollow,1, Not Ranked ,  ,  ,
Be Ok,1," 4,074 ", -   , -   ,Rock
Be without you,2," 4,759 ", 3 , 33 ,Soul
Beautiful,1, 287 , 26 , 27 ,Remix
Beautiful Day,3," 3,529 ", 24 , 2 ,Pop
Before He Cheats,2," 4,345 ", 8 , 64 ,Pop
Before i Forget,1, Not Ranked ,  ,  ,
Believe,1," 1,846 ", 31 , 15 ,Folk Rock
Best Part,1, 404 , 75 , 19 ,Canada
Better Man,1," 1,206 ", 34 , 20 ,Country
Bittersweet,1," 3,436 ", 74 , 12 ,R&;B
Blackstar,2," 1,651 ", -   , -   ,Experimental
Blame it,1," 3,260 ", -   , -   ,Cover
Bless the Broken Road,1," 5,076 ", 29 , 20 ,Soundtrack
Blown Away,2," 2,650 ", 20 , 22 ,Country
Body and Soul,1," 3,038 ", -   , -   ,Soul
Boo'd Up,1, 394 , 5 , 35 ,UK
Boulevard of Broken Dreams,1," 5,014 ", 2 , 36 ,Adult Contemporary
Brand New Day,1, Not Ranked ,  ,  ,
